사업장명,도로명전체,인허가일자,영업상태명,위생업태명,GRS80_X,GRS80_Y,x_wgs84,y_wgs84
통닭가,"경기도 하남시 신장로 104, 103호 (신장동, 성원쌍떼빌)",20141120,운영중,통닭(치킨),218252.295382,548697.979196,127.2065180164389,37.53760619670617
한앤둘 치킨점,"경기도 하남시 신장1로9번길 55, 1층 (신장동)",20121123,운영중,통닭(치킨),218246.773032,548787.893153,127.2064577670102,37.53841642572009
깻잎칩킨,경기도 하남시 신장1로21번길 16 (신장동),20150226,운영중,통닭(치킨),218484.960241,548813.123025,127.2091534155263,37.53863900295826
꾜두마리치킨,"경기도 하남시 하남대로 815, 1층 111호 (신장동)",20120608,운영중,통닭(치킨),218292.912648,549089.869752,127.2069873433998,37.54113630334065
우리집,"경기도 하남시 신평로 75, 1층 (신장동)",20131113,운영중,통닭(치킨),218205.451593,548990.470295,127.20599524899018,37.540242450640534
동교정육식당,경기도 포천시 화합로 191 (동교동),20090709,운영중,통닭(치킨),211571.19781,582336.391275,127.13145797334755,37.84078781248416
뉴멕시칸치킨ㆍ소문난찐빵,경기도 포천시 소흘읍 광릉수목원로 1170,20090727,운영중,통닭(치킨),210395.583012,575557.602145,127.11800484826593,37.77972800857624
아리치킨,경기도 포천시 호병로 93 (신읍동),20070411,운영중,통닭(치킨),217007.78229,588529.104869,127.19336735991129,37.8964955888635
야간포차,경기도 포천시 일동면 화동로1063번길 3 (2층),20110511,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
굽네치킨,"경기도 포천시 신북면 호국로 1886-55, 111동 101호 (신아포미재아파트)",20141110,운영중,통닭(치킨),219540.740515,590895.629176,127.2222293674229,37.917765651951115
치킨＆오짱,충청남도 당진시 북문로1길 6-7 (읍내동),20140205,운영중,통닭(치킨),166896.09601,477868.426889,126.62858622006866,36.89899725742542
구구치킨,충청남도 당진시 먹거리길 34 (대덕동),20130711,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
또래오래,충청남도 당진시 송악읍 송악로 701-6,20130722,운영중,통닭(치킨),177527.577602,482458.961208,126.7477300636775,36.940674898768734
치킨퐁,"충청남도 당진시 송산면 유곡2길 15, 105호",20140806,운영중,통닭(치킨),172328.191645,485049.583019,126.68926891946283,36.963880065683504
달동네포차,충청남도 당진시 밤절로 160-28 (수청동),20120706,운영중,통닭(치킨),168484.023033,478037.560093,126.64639483682144,36.900575638381646
포구포차,충청남도 당진시 송악읍 안섬포구길 9,20120716,운영중,통닭(치킨),177048.267827,487067.266036,126.7422095473736,36.982187821188944
왈라왈라,충청남도 당진시 대호지면 4.4만세로 80,20090804,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
큰통치킨,"충청남도 당진시 당진중앙2로 447, 121호 ((주)부경)",20111117,운영중,통닭(치킨),168540.331299,478054.70485,126.64702588579792,36.90073200491567
멕시칸치킨,전라남도 장흥군 회진면 회진로 442-2,20110317,운영중,통닭(치킨),194491.601265,209834.370926,126.94003336104896,34.4838265642901
송원숯불바베규,전라남도 장흥군 장흥읍 중앙로1길 11,20111129,운영중,통닭(치킨),191735.811258,231338.137932,126.90982363724775,34.6776526989035
꼬꼬닭집,전라남도 장흥군 장흥읍 건산로 41-1,20111227,운영중,통닭(치킨),191554.062843,231628.554802,126.90783755470949,34.68026912038049
네네치킨,전라남도 장흥군 장흥읍 북부로 39,20120127,운영중,통닭(치킨),191493.360168,232228.247507,126.90716913201831,34.68567442383686
치킨마을맥주타임,전라남도 화순군 화순읍 만연로 48,20110328,운영중,통닭(치킨),199140.395631,273764.60409,126.99057671959403,35.0601191031224
하림맥시칸통닭,전라남도 영광군 영광읍 중앙로4길 5-1,19860225,운영중,통닭(치킨),155634.013502,297783.445124,126.51236181615594,35.27563254011568
B.B.Q치킨,전라남도 영광군 영광읍 신남로 216,20091013,운영중,통닭(치킨),155011.350925,297781.271968,126.50551831317271,35.275585174761765
리치리치 포차,전라남도 영광군 영광읍 옥당로 148,20041228,운영중,통닭(치킨),154661.477528,297756.564008,126.50167425880343,35.275346701317666
황금치킨,전라남도 장성군 장성읍 영천로 124,20110704,운영중,통닭(치킨),180110.9566,300028.278753,126.78133709772251,35.2966512516572
미전 백양점,전라남도 장성군 북이면 백양로 14-1,20060215,운영중,통닭(치킨),182665.507028,314772.947492,126.80910945615344,35.42959604844312
삼서통닭,전라남도 장성군 삼서면 해삼로 1105,20140529,운영중,통닭(치킨),167802.159534,292657.148036,126.64630315582899,35.229892911444146
여우와놀던닭보목점,제주특별자치도 서귀포시 칠십리로 474 (보목동),19960416,운영중,통닭(치킨),0.0,0.0,124.87027781269322,32.57392676984479
이태리치킨법환분점,제주특별자치도 서귀포시 이어도로 932 (법환동),20000502,운영중,통닭(치킨),154708.056148,71751.5246639,126.51404508867289,33.23800410773083
명품치킨신시가지점,제주특별자치도 서귀포시 서호호근로 113 (호근동),20050408,운영중,통닭(치킨),155664.697578,73882.1499265,126.52420487764994,33.25725371178815
처가집치킨성산점,제주특별자치도 서귀포시 성산읍 서성일로 1224,20121005,운영중,통닭(치킨),191557.75498,94768.2877549,126.90920339015935,33.44644553520016
